,Year,Country,Plastic_waste_generated,Plastic_waste_treated,Disposal - Total,Disposal - landfill and other,Disposal - incineration,Recovery - Total,Recovery - energy recovery,Recovery - recycling,Recovery - backfilling,Population,Plastic_waste_generated_per_person
47,2012,Luxembourg,26329,17778,0.0,0.0,0.0,17778,6000.0,11778,0.0,524853,50.16452225670807
48,2012,Hungary,185787,114380,15388.0,12573.0,2815.0,98992,7526.0,91466,0.0,9931925,18.706041376671692
49,2012,Malta,4359,55,55.0,55.0,0.0,0,0.0,0,0.0,417546,10.439568334985847
50,2012,Netherlands,574632,476116,10095.0,7101.0,2994.0,466021,86340.0,379681,0.0,16730348,34.3466854365492
51,2012,Austria,357595,351934,298.0,0.0,298.0,351636,39845.0,311791,0.0,8408121,42.529716211267655
52,2012,Poland,969653,583262,10418.0,10182.0,236.0,572844,9312.0,563532,0.0,38063792,25.47441936420838
53,2012,Portugal,176396,70716,9667.0,9652.0,15.0,61049,2225.0,58824,0.0,10542398,16.73205659661113
54,2012,Romania,488164,242400,2689.0,2151.0,538.0,239711,12853.0,226858,0.0,20095996,24.291605153583827
55,2012,Slovenia,47777,38655,6543.0,4900.0,1643.0,32112,117.0,31995,0.0,2055496,23.243538299271805
56,2012,Slovakia,108140,68953,10960.0,10938.0,22.0,57993,1010.0,56983,0.0,5404322,20.009910586378826
57,2012,Finland,91349,52449,12010.0,1979.0,10031.0,40439,32047.0,8392,0.0,5401267,16.912513304748682
58,2012,Sweden,175836,201753,46.0,46.0,0.0,201707,105011.0,96696,0.0,9482855,18.54251699514545
59,2012,Iceland,6427,6427,66.0,66.0,0.0,6361,1458.0,4903,0.0,319575,20.111085034811857
60,2012,Norway,157859,157430,3139.0,3139.0,0.0,154291,83801.0,70490,0.0,4985870,31.661274762478765
61,2012,United Kingdom,2378525,513460,122433.0,122433.0,0.0,391027,0.0,390807,220.0,63495088,37.45998430618759
62,2012,Montenegro,5418,2471,1918.0,1918.0,0.0,553,2.0,551,0.0,620308,8.734370667474867
63,2012,North Macedonia,10860,13250,6010.0,6010.0,0.0,7240,0.0,7240,0.0,2059794,5.2723718973839135
64,2012,Serbia,17854,2912,117.0,116.0,1.0,2796,0.0,2796,0.0,7216649,2.4740014375092927
65,2012,Türkiye,214580,361662,8187.0,8058.0,129.0,328218,,328218,,74724269,2.871623943219839
66,2014,Belgium,1395458,253912,38256.0,22120.0,16136.0,215656,11624.0,204032,0.0,11180840,124.80797507164041
67,2014,Bulgaria,196124,196126,719.0,587.0,132.0,195407,877.0,194530,0.0,7245677,27.06772603857445
68,2014,Czechia,347929,265658,42151.0,41594.0,557.0,223507,45094.0,136857,41556.0,10512419,33.09694942714898
69,2014,Denmark,98820,65451,1514.0,1514.0,0.0,63937,3514.0,60423,0.0,5627235,17.56102242042495
70,2014,Germany,2704367,2250739,16068.0,1354.0,14714.0,2234671,505751.0,1728920,0.0,80767463,33.483371887018414
71,2014,Estonia,32966,10851,285.0,285.0,0.0,10565,506.0,10059,0.0,1315819,25.05359779726543
72,2014,Ireland,183148,67427,292.0,292.0,0.0,67135,0.0,67135,0.0,4637852,39.48983279328448
73,2014,Greece,192248,107351,68455.0,68455.0,0.0,38896,783.0,38113,0.0,10926807,17.59416085595728
74,2014,Spain,1105552,1105551,150775.0,150775.0,0.0,954776,6362.0,948414,0.0,46512199,23.769076151398473
75,2014,France,1729628,1310308,223604.0,223604.0,0.0,1086704,800377.0,286327,0.0,66165980,26.140744835941373
76,2014,Croatia,49116,46171,1219.0,1219.0,0.0,44952,0.0,44952,0.0,4246809,11.565389448877971
77,2014,Italy,3215966,2236720,72983.0,43391.0,29592.0,2163737,87578.0,2076159,0.0,60782668,52.90926025162304
78,2014,Latvia,23397,40230,319.0,319.0,0.0,39910,0.0,39910,0.0,2001468,11.689919599014324
79,2014,Lithuania,73131,32034,5357.0,5357.0,0.0,26677,0.0,26677,0.0,2943472,24.845148858219137
80,2014,Luxembourg,26325,27592,0.0,0.0,0.0,27592,4870.0,22722,0.0,549680,47.89150050938728
81,2014,Hungary,243630,140912,14572.0,12728.0,1844.0,126340,9813.0,116527,0.0,9877365,24.665485177473954
82,2014,Malta,5660,37,37.0,37.0,0.0,0,0.0,0,0.0,429424,13.180446365363837
83,2014,Netherlands,570769,400189,4347.0,967.0,3380.0,395842,45660.0,350182,0.0,16829289,33.91521768982635
84,2014,Austria,371417,187436,0.0,0.0,,187436,,187436,0.0,8507786,43.656128633230786
85,2014,Poland,1188512,1042901,7584.0,7516.0,68.0,1035317,15840.0,1019477,0.0,38017856,31.261941757052263
86,2014,Portugal,232192,103857,8149.0,8143.0,6.0,95708,4103.0,91605,0.0,10427301,22.267698995166633
87,2014,Romania,345617,279684,6027.0,5413.0,614.0,273657,13583.0,260074,0.0,19947311,17.326495786825603
88,2014,Slovenia,61829,45076,2854.0,2838.0,16.0,42222,1650.0,40572,0.0,2061085,29.998277606212262
89,2014,Slovakia,124269,70129,11868.0,11653.0,215.0,58261,1214.0,57047,0.0,5415949,22.945009267997168
90,2014,Finland,116859,83270,19117.0,1142.0,17975.0,64153,56205.0,7948,0.0,5451270,21.43702293227083
91,2014,Sweden,301187,152731,251.0,21.0,230.0,152480,71417.0,81063,0.0,9644864,31.22770834301033
92,2014,Iceland,5553,5550,879.0,451.0,428.0,4671,0.0,4671,0.0,325671,17.050950192065
93,2014,Norway,244118,253930,3786.0,3754.0,32.0,250144,129214.0,120930,0.0,5107970,47.791588439242986
94,2014,United Kingdom,2678997,651288,70022.0,70022.0,0.0,581265,0.0,581258,7.0,64351203,41.630876737455864
95,2014,Montenegro,2690,328,0.0,0.0,0.0,328,0.0,328,0.0,621521,4.328091890700395
96,2014,North Macedonia,8792,4488,4488.0,3985.0,503.0,0,0.0,0,0.0,2065769,4.256042180902123
97,2014,Serbia,27553,20709,545.0,545.0,0.0,20164,0.0,20164,,7146759,3.8553139961764487
98,2014,Türkiye,223381,784069,,,,769366,12820.0,756546,,76667864,2.913619714252115
99,2016,Belgium,715623,321573,54697.0,36962.0,17735.0,266876,11398.0,255478,0.0,11311117,63.26722639329077
100,2016,Bulgaria,213449,230365,314.0,130.0,184.0,230051,16771.0,213280,0.0,7153784,29.837216220115117
101,2016,Czechia,430416,369128,51523.0,51120.0,403.0,317605,59665.0,186480,71460.0,10553843,40.782869330157745
102,2016,Denmark,114585,75231,1034.0,1034.0,0.0,74197,2357.0,71840,0.0,5707251,20.077091405301783
103,2016,Germany,2734235,2428173,7491.0,1177.0,6314.0,2420682,488250.0,1932432,0.0,82175684,33.273042181188295
104,2016,Estonia,42836,13122,726.0,726.0,0.0,12396,577.0,9923,1896.0,1315944,32.5515371474774
105,2016,Ireland,148536,67984,852.0,852.0,0.0,67132,29.0,67098,5.0,4726286,31.427636837889203
106,2016,Greece,256905,40827,1004.0,1004.0,0.0,39823,803.0,39020,0.0,10783748,23.823349729611635
107,2016,Spain,731064,690602,81448.0,81448.0,0.0,609154,14331.0,594823,0.0,46440099,15.742085304340115
108,2016,France,1955098,1248558,93877.0,93877.0,0.0,1154681,842860.0,311821,0.0,66638391,29.338913660145245
109,2016,Croatia,65131,30394,3959.0,3959.0,0.0,26435,0.0,26435,0.0,4190669,15.541909895532193
110,2016,Italy,3931868,1864630,60046.0,49282.0,10764.0,1804584,97201.0,1707383,0.0,60665551,64.8122028925444
111,2016,Latvia,61891,60905,542.0,542.0,0.0,60363,2899.0,57464,0.0,1968957,31.433393415904966
112,2016,Lithuania,88744,44272,3590.0,3590.0,0.0,40682,13.0,40669,0.0,2888558,30.72259584193913
113,2016,Luxembourg,28860,12075,0.0,0.0,0.0,12075,73.0,12002,0.0,576249,50.08251641217599
114,2016,Hungary,221334,189628,26533.0,25043.0,1490.0,163095,31401.0,131694,0.0,9830485,22.515064109247916
115,2016,Malta,8657,2265,39.0,39.0,0.0,2226,0.0,2226,0.0,450415,19.220052618141047
116,2016,Netherlands,521658,308262,3472.0,2263.0,1209.0,304790,13617.0,291173,0.0,16979120,30.723500393424395
117,2016,Austria,371236,280979,0.0,0.0,,280979,,280979,0.0,8700471,42.66849461368241
118,2016,Poland,1296322,696151,11514.0,10740.0,774.0,684637,41821.0,642816,0.0,37967209,34.14319972795472
119,2016,Portugal,307204,154449,9873.0,9867.0,6.0,144576,6423.0,138153,0.0,10341330,29.706430410788556
120,2016,Romania,280235,279912,3197.0,1848.0,1349.0,276715,26567.0,250148,0.0,19760585,14.181513350945835
121,2016,Slovenia,59273,48651,2406.0,2403.0,3.0,46245,6662.0,39583,0.0,2064188,28.71492325311454
122,2016,Slovakia,148697,93435,10143.0,10075.0,68.0,83292,454.0,82838,0.0,5426252,27.403261035425558
123,2016,Finland,87361,72683,212.0,212.0,0.0,72471,45255.0,27216,0.0,5487308,15.920557038168807
124,2016,Sweden,315976,235631,60.0,60.0,0.0,235571,151996.0,83575,0.0,9851017,32.07546997431839
125,2016,Iceland,7975,7976,233.0,201.0,32.0,7743,666.0,7077,0.0,332529,23.982870666919275
126,2016,Norway,244217,260782,3671.0,3666.0,5.0,257111,123736.0,133375,0.0,5210721,46.86817812736472
127,2016,United Kingdom,2947998,612773,55734.0,53386.0,2348.0,557039,0.0,557035,4.0,65379044,45.09087040183702
