Year,Country,Plastic_waste_generated,Plastic_waste_treated,Disposal - Total,Disposal - landfill and other,Disposal - incineration,Recovery - Total,Recovery - energy recovery,Recovery - recycling,Recovery - backfilling
2014,Montenegro,2690,328,0,0,0,328,0,328,0
2014,North Macedonia,8792,4488,4488,3985,503,0,0,0,0
2014,Serbia,27553,20709,545,545,0,20164,0,20164,
2014,Türkiye,223381,784069,,,,769366,12820,756546,
2016,Belgium,715623,321573,54697,36962,17735,266876,11398,255478,0
2016,Bulgaria,213449,230365,314,130,184,230051,16771,213280,0
2016,Czechia,430416,369128,51523,51120,403,317605,59665,186480,71460
2016,Denmark,114585,75231,1034,1034,0,74197,2357,71840,0
2016,Germany,2734235,2428173,7491,1177,6314,2420682,488250,1932432,0
2016,Estonia,42836,13122,726,726,0,12396,577,9923,1896
2016,Ireland,148536,67984,852,852,0,67132,29,67098,5
2016,Greece,256905,40827,1004,1004,0,39823,803,39020,0
2016,Spain,731064,690602,81448,81448,0,609154,14331,594823,0
2016,France,1955098,1248558,93877,93877,0,1154681,842860,311821,0
2016,Croatia,65131,30394,3959,3959,0,26435,0,26435,0
2016,Italy,3931868,1864630,60046,49282,10764,1804584,97201,1707383,0
2016,Latvia,61891,60905,542,542,0,60363,2899,57464,0
2016,Lithuania,88744,44272,3590,3590,0,40682,13,40669,0
2016,Luxembourg,28860,12075,0,0,0,12075,73,12002,0
2016,Hungary,221334,189628,26533,25043,1490,163095,31401,131694,0
2016,Malta,8657,2265,39,39,0,2226,0,2226,0
2016,Netherlands,521658,308262,3472,2263,1209,304790,13617,291173,0
2016,Austria,371236,280979,0,0,,280979,,280979,0
2016,Poland,1296322,696151,11514,10740,774,684637,41821,642816,0
2016,Portugal,307204,154449,9873,9867,6,144576,6423,138153,0
2016,Romania,280235,279912,3197,1848,1349,276715,26567,250148,0
2016,Slovenia,59273,48651,2406,2403,3,46245,6662,39583,0
2016,Slovakia,148697,93435,10143,10075,68,83292,454,82838,0
2016,Finland,87361,72683,212,212,0,72471,45255,27216,0
2016,Sweden,315976,235631,60,60,0,235571,151996,83575,0
2016,Iceland,7975,7976,233,201,32,7743,666,7077,0
2016,Norway,244217,260782,3671,3666,5,257111,123736,133375,0
2016,United Kingdom,2947998,612773,55734,53386,2348,557039,0,557035,4
2016,Montenegro,2975,124,2,1,1,122,0,122,0
2016,North Macedonia,8792,4488,4488,3985,503,0,0,0,0
2016,Serbia,55076,45855,539,539,0,45316,1222,44094,0
2016,Türkiye,658164,1118240,,,,1116354,74512,1041842,0
